5.1,3.5,1.4,0.20,Iris-setosa,0.00
4.9,3.00,1.4,0.20,Iris-setosa,0.00
4.7,3.2,1.3,0.20,Iris-setosa,0.00
4.6,3.1,1.5,0.20,Iris-setosa,0.00
5.00,3.6,1.4,0.20,Iris-setosa,0.00
5.4,3.9,1.7,0.40,Iris-setosa,0.00
4.6,3.4,1.4,0.30,Iris-setosa,0.00
5.00,3.4,1.5,0.20,Iris-setosa,0.00
4.4,2.9,1.4,0.20,Iris-setosa,0.00
4.9,3.1,1.5,0.10,Iris-setosa,0.00
5.4,3.7,1.5,0.20,Iris-setosa,0.00
4.8,3.4,1.6,0.20,Iris-setosa,0.00
4.8,3.00,1.4,0.10,Iris-setosa,0.00
4.3,3.00,1.1,0.10,Iris-setosa,0.00
5.8,4.00,1.2,0.20,Iris-setosa,0.00
5.7,4.4,1.5,0.40,Iris-setosa,0.00
5.4,3.9,1.3,0.40,Iris-setosa,0.00
5.1,3.5,1.4,0.30,Iris-setosa,0.00
5.7,3.8,1.7,0.30,Iris-setosa,0.00
5.1,3.8,1.5,0.30,Iris-setosa,0.00
5.4,3.4,1.7,0.20,Iris-setosa,0.00
5.1,3.7,1.5,0.40,Iris-setosa,0.00
4.6,3.6,1.00,0.20,Iris-setosa,0.00
5.1,3.3,1.7,0.50,Iris-setosa,0.00
4.8,3.4,1.9,0.20,Iris-setosa,0.00
5.00,3.00,1.6,0.20,Iris-setosa,0.00
5.00,3.4,1.6,0.40,Iris-setosa,0.00
5.2,3.5,1.5,0.20,Iris-setosa,0.00
5.2,3.4,1.4,0.20,Iris-setosa,0.00
4.7,3.2,1.6,0.20,Iris-setosa,0.00
4.8,3.1,1.6,0.20,Iris-setosa,0.00
5.4,3.4,1.5,0.40,Iris-setosa,0.00
5.2,4.1,1.5,0.10,Iris-setosa,0.00
5.5,4.2,1.4,0.20,Iris-setosa,0.00
4.9,3.1,1.5,0.10,Iris-setosa,0.00
5.00,3.2,1.2,0.20,Iris-setosa,0.00
5.5,3.5,1.3,0.20,Iris-setosa,0.00
4.9,3.1,1.5,0.10,Iris-setosa,0.00
4.4,3.00,1.3,0.20,Iris-setosa,0.00
5.1,3.4,1.5,0.20,Iris-setosa,0.00
6.3,3.3,6.00,2.5,Iris-virginica,1.00
5.8,2.7,5.1,1.9,Iris-virginica,1.00
7.1,3.00,5.9,2.1,Iris-virginica,1.00
6.3,2.9,5.6,1.8,Iris-virginica,1.00
6.5,3.00,5.8,2.2,Iris-virginica,1.00
7.6,3.00,6.6,2.1,Iris-virginica,1.00
4.9,2.5,4.5,1.7,Iris-virginica,1.00
7.3,2.9,6.3,1.8,Iris-virginica,1.00
6.7,2.5,5.8,1.8,Iris-virginica,1.00
7.2,3.6,6.1,2.5,Iris-virginica,1.00
6.5,3.2,5.1,2.00,Iris-virginica,1.00
6.4,2.7,5.3,1.9,Iris-virginica,1.00
6.8,3.00,5.5,2.1,Iris-virginica,1.00
5.7,2.5,5.00,2.00,Iris-virginica,1.00
5.8,2.8,5.1,2.4,Iris-virginica,1.00
6.4,3.2,5.3,2.3,Iris-virginica,1.00
6.5,3.00,5.5,1.8,Iris-virginica,1.00
7.7,3.8,6.7,2.2,Iris-virginica,1.00
7.7,2.6,6.9,2.3,Iris-virginica,1.00
6.00,2.2,5.00,1.5,Iris-virginica,1.00
6.9,3.2,5.7,2.3,Iris-virginica,1.00
5.6,2.8,4.9,2.00,Iris-virginica,1.00
7.7,2.8,6.7,2.00,Iris-virginica,1.00
6.3,2.7,4.9,1.8,Iris-virginica,1.00
6.7,3.3,5.7,2.1,Iris-virginica,1.00
7.2,3.2,6.00,1.8,Iris-virginica,1.00
6.2,2.8,4.8,1.8,Iris-virginica,1.00
6.1,3.00,4.9,1.8,Iris-virginica,1.00
6.4,2.8,5.6,2.1,Iris-virginica,1.00
7.2,3.00,5.8,1.6,Iris-virginica,1.00
7.4,2.8,6.1,1.9,Iris-virginica,1.00
7.9,3.8,6.4,2.00,Iris-virginica,1.00
6.4,2.8,5.6,2.2,Iris-virginica,1.00
6.3,2.8,5.1,1.5,Iris-virginica,1.00
6.1,2.6,5.6,1.4,Iris-virginica,1.00
7.7,3.00,6.1,2.3,Iris-virginica,1.00
6.3,3.4,5.6,2.4,Iris-virginica,1.00
6.4,3.1,5.5,1.8,Iris-virginica,1.00
6.00,3.00,4.8,1.8,Iris-virginica,1.00
6.9,3.1,5.4,2.1,Iris-virginica,1.00
